Word,Difficulty
academy,-0.47
Acadia,0.55
Acapulco,0.28
accede,0.46
acceded,0.21
accelerando,1.06
accelerate,-0.21
accelerated,-0.13
accelerating,0.17
acceleration,-0.25
accelerations,0.22
accelerator,-0.07
accelerators,0.11
accelerometer,0.97
accelerometers,1.13
accent,-0.49
accented,-0.42
accenting,-0.06
accents,-0.58
accentual,0.21
accentuate,0.23
accentuated,0.43
accentuates,0.64
accept,-0.86
acceptable,-0.43
acceptance,-0.33
accepted,-0.64
accepting,-0.54
accepts,-0.37
access,-0.47
accesses,-0.13
accessible,-0.38
accessions,0.48
accessories,-0.31
accessors,0.09
accessory,-0.33
accident,-0.61
accidental,-0.21
accidentally,-0.2
accidents,-0.47
acclaim,-0.05
acclaimed,-0.21
acclaims,-0.18
acclamation,0.29
acclimate,0.38
acclimatized,1.37
accolade,0.69
accolades,0.37
accommodate,-0.15
accommodated,-0.14
accommodates,-0.15
accommodating,-0.03
accommodation,0.07
accommodations,0.02
accompanied,-0.01
accompanies,0.01
accompaniment,0.09
accompaniments,0.84
accompanist,0.38
accompanists,0.55
accompany,-0.22
accompanying,0.26
accomplice,-0.06
accomplices,0.59
accomplish,-0.23
accomplished,-0.25
accomplishes,0.35
accomplishing,-0.15
accomplishment,0.04
accomplishments,0.02
accord,-0.38
accordance,-0.09
accorded,0.01
according,-0.45
accordingly,-0.18
accordion,0.4
accords,-0.34
accost,0.11
accosted,0.26
accosting,0.24
account,-0.68
accountability,0.17
accountable,-0.19
accountant,0.05
accountants,-0.22
accounted,-0.43
accounting,-0.43
accounts,-0.6
accredit,0.3
accreditation,0.61
accredited,0.07
accrue,-0.07
accrued,0.21
accrues,0.39
accruing,0.42
acculturated,1.13
acculturation,0.79
accumulate,-0.24
accumulated,-0.13
accumulates,-0.2
accumulating,-0.05
accumulation,0.03
accuracy,-0.61
accurate,-0.22
accurately,-0.01
accurst,0.26
accusation,0.16
accusations,-0.06
accusative,0.83
accuse,-0.52
accused,-0.47
accuses,-0.11
accusing,-0.17
accusingly,0.14
accustom,0.01
accustomed,-0.17
ace,-0.61
acerbic,0.54
aces,-0.08
acetate,0.42
acetone,0.04
acetylene,0.8
ache,-0.5
ached,0.04
aches,-0.33
achieve,-0.49
achieved,-0.32
achievement,-0.21
achievements,-0.22
achieves,-0.07
achieving,-0.27
Achilles,0.16
aching,-0.11
acid,-0.57
acidic,-0.02
acidity,-0.09
acids,-0.42
acknowledge,-0.15
acknowledged,0.09
acknowledgement,0.1
acknowledges,0.61
acknowledging,0.24
acknowledgment,0.28
acknowledgments,0.29
acme,-0.22
acne,-0.55
acolyte,0.05
acorn,-0.24
acorns,-0.05
acoustic,0.19
acoustical,0.49
acoustically,0.66
acoustics,-0.02
acquaint,0.09
acquaintance,0.08
acquainted,-0.03
acquiesce,0.52
acquiesced,0.61
acquiescence,0.51
acquiescent,-0.01
acquire,-0.3
acquired,-0.18
acquires,-0.3
acquiring,-0.15
acquisition,0
acquisitions,0.13
acquisitive,0.59
acquisitiveness,0.92
acquit,0.28
acquittal,0.39
acquitted,0.16
acre,-0.2
acreage,1.15
acres,-0.29
acrid,0.17
acrimonious,0.97
acrimony,0.21
acrobat,-0.16
acrobatic,0.21
acrobatics,0.49
acrobats,-0.18
acronym,0.26
Acropolis,0.31
across,-0.58
acrylic,0.04
act,-0.56
acted,-0.47
acting,-0.72
action,-0.8
actions,-0.53
activate,-0.45
activated,-0.23
activating,-0.32
activation,0.19
active,-0.59
actively,-0.3
activism,-0.4
activist,-0.24
activities,-0.3
activity,-0.37
actor,-0.83
actors,-0.45
actor's,-0.66
actress,-0.49
actresses,0.24
acts,-0.64
actual,-0.63
actualities,0.15
actuality,0.05
actually,-0.44
actuary,0.08
acuity,0.22
acupuncture,0.32
acute,-0.45
acutely,0.22
acuteness,0.32
ad,-0.3
Ada,0.46
adage,0.38
Adam,-0.58
adamant,0.2
adamantly,0.42
Adam's,-0.52
adapt,-0.56
adaptability,0.45
adaptable,0.08
adaptation,0.09
adaptations,0.03
adapted,-0.42
adapter,0.01
adapters,0.1
adapting,-0.29
Ada's,0.4
add,-0.58
added,-0.56
addendum,0.52
adder,0.18
addict,-0.7
addicted,-0.43
addiction,-0.46
addicts,-0.24
adding,-0.46
addition,-0.58
additional,-0.3
additionally,0.13
additions,-0.04
additive,-0.09
additives,-0.06
addle,0.29
address,-0.67
addressed,-0.54
addressee,0.55
addressees,-0.05
addresses,-0.27
addressing,-0.36
adds,-0.47
adduce,-0.04
Adele,0.23
adept,-0.14
adequacy,0.15
adequate,-0.28
adequately,-0.29
adhere,-0.21
adhered,0.16
adherence,0.27
adherent,0.04
adherents,0.5
adheres,0.14
adhesion,0.27
adhesive,-0.06
adhesives,0.07
adieu,0.35
adios,0
adipose,0.52
adirondack,0.81
adirondacks,0.82
adjacent,-0.09
adjectival,0.99
adjective,-0.41
adjectives,-0.18
adjoin,0.27
adjoined,-0.1
adjoining,0.2
adjoins,0.25
adjourn,-0.1
adjourned,0.14
adjourning,0.28
adjournment,0.31
adjourns,0.21
adjudge,-0.05
adjudged,0.8
adjudging,1.15
adjudicate,0.9
adjudication,0.87
adjunct,-0.07
adjuncts,0.02
adjure,0.04
adjust,-0.53
adjustable,-0.18
adjusted,-0.24
adjusting,-0.25
adjustment,-0.35
adjustments,-0.04
adjusts,-0.17
Adlai,0.41
administer,0.01
administered,0.01
administering,0.18
administers,0.1
administration,0.29
administration's,0.88
administrative,0.5
administratively,0.89
administrator,0.28
administrators,0.39
admirable,0.03
admirably,-0.27
admiral,-0.37
admirals,-0.11
admiralty,0.53
admiration,0.04
admire,-0.62
admired,-0.34
admirer,-0.01
admirers,-0.12
admires,-0.66
admiring,-0.36
admiringly,0.27
admissible,0.2
admission,-0.33
admissions,-0.32
admit,-0.62
admits,-0.59
admittance,-0.04
admitted,-0.19
admittedly,0.3
admitting,-0.43
admixed,0.88
admonish,-0.07
admonished,0.54
admonishing,0.27
admonishments,0.66
admonition,0.79
admonitions,0.51
ado,0.17
adobe,0.07
adolescence,-0.4
adolescent,0.08
adolescents,-0.08
adolescent's,0.14
Adolf,-0.05
Adonis,0.12
adopt,-0.59
adopted,-0.46
adopting,-0.41
adoption,-0.4
adopts,-0.46
adorable,-0.04
adoration,0.03
adore,-0.36
adored,-0.28
adores,-0.36
adorn,-0.23
adorned,-0.27
adornment,0.7
adorns,0.1
adrenal,0.32
adrenalin,0.45
Adrian,0.05
Adriatic,0.42
adrift,0.1
adroit,0.34
adroitness,0.62
ads,-0.34
adsorbed,-0.05
adsorbs,0.35
adulation,0.6
adult,-0.79
adulterant,0.92
adulterate,0.8
adulterated,0.62
adulterer,0.51
adulterers,0.37
adulteress,0.47
adulterous,0.35
adultery,-0.55
adulthood,-0.39
adults,-0.86
advance,-0.62
advanced,-0.59
advancement,-0.48
advancements,0.23
advances,-0.44
advancing,-0.27
advantage,-0.47
advantageous,0.65
advantageously,1.05
advantages,-0.18
advent,-0.44
adventitious,0.99
adventure,-0.46
adventurers,0.37
adventures,-0.15
adventuring,0.34
adventurous,0.36
adverb,-0.41
adverbial,0.74
adverbs,-0.14
adversaries,0.28
adversary,-0.1
adverse,-0.33
adversely,-0.01
adversity,-0.06
advert,-0.07
advertise,-0.37
advertised,-0.14
advertisement,0.05
advertisements,0.37
advertiser,0.17
advertisers,0.23
advertises,0.55
advertising,0.1
advice,-0.67
advisability,0.87
advisable,0.21
advise,-0.37
advised,-0.43
advisedly,0.05
advisement,0.07
adviser,-0.39
advisers,-0.23
advises,-0.18
advising,-0.5
advisor,-0.45
advisors,-0.42
advisory,-0.32
advocacy,-0.3
advocate,-0.4
advocated,-0.1
advocates,-0.43
advocating,0.06
Aegean,0.87
aerate,1.09
aerated,1.11
aerates,0.6
aeration,1.36
aerator,0.78
aerial,0.09
aerials,0
aerobatic,0.06
aerobic,-0.19
aerodynamic,0.88
aeronaut,0.87
aeronautical,0.85
aeronautics,0.84
aeroplane,0.38
aerosol,-0.01
aerosolized,1.29
aerosols,0.09
aerospace,0.37
Aeschylus,1.13
aesthetic,0.38
aesthetics,0.17
afar,-0.03
affable,0.17
affair,-0.55
affairs,-0.53
affect,-0.4
affectation,0.35
affected,-0.27
affecting,-0.12
affectingly,0.62
affection,-0.32
affectionate,0.48
affectionately,0.79
affections,-0.05
affects,-0.52
afferent,0.61
affianced,0.43
affidavit,0.7
affidavits,0.65
affiliate,0.13
affiliated,-0.07
affiliates,0.24
affiliation,0.16
affiliations,0.02
affinities,0.28
affinity,0.02
affirm,-0.32
affirmation,-0.13
affirmations,0.09
affirmative,-0.15
affirmatively,0.52
affirmed,-0.18
affirming,-0.13
affirms,-0.02
affix,-0.02
affixed,-0.26
afflict,-0.11
afflicted,0.02
affliction,-0.2
afflictions,0.13
affluence,-0.16
affluent,-0.1
afford,-0.24
afforded,0.08
affording,0
affords,-0.12
affricate,0.12
affront,0.18
affronted,0.12
affronting,0.32
Afghan,0.09
Afghanistan,0.54
Afghans,0.58
aficionado,0.21
afield,0.67
afire,0.29
aflame,0.5
afloat,0.18
afoot,0.16
aforementioned,1.04
aforesaid,0.78
aforethought,1.3
afoul,-0.09
afraid,-0.59
Africa,-0.31
African,-0.43
Africans,-0.27
afro,0.16
aft,-0.1
after,-0.58
afterbirth,0.12
aftercare,0.64
aftereffect,1.57
afterglow,0.02
afterlife,0.01
aftermath,-0.33
afternoon,-0.42
afternoons,-0.25
afternoon's,-0.22
aftershave,0.09
aftertaste,0.5
afterthought,-0.13
afterward,-0.02
afterwards,-0.22
again,-0.75
against,-0.58
Agamemnon,0.93
Agamemnon's,0.82
agape,0.36
agar,0.42
Agatha,0.35
age,-0.9
aged,-0.49
ageless,-0.23
agencies,-0.37
agency,-0.58
agenda,-0.25
agent,-0.6
agents,-0.48
agent's,-0.45
ages,-0.54
Aggie,0.13
Aggies,0.69
agglomerate,0.58
agglomeration,0.68
agglutinating,1.32
agglutination,1.14
aggrandize,0.39
aggravate,0
aggravated,-0.1
aggravates,0.53
aggravation,0.13
aggregate,-0.08
aggregation,0.13
aggregations,0.67
aggression,-0.28
aggressions,0.05
aggressive,-0.37
aggressively,-0.3
aggressiveness,0.03
aggressor,-0.14
aggrieve,0.17
aggrieved,0.3
aghast,-0.05
agile,-0.24
agilely,0.91
agility,0.04
aging,-0.46
agitate,-0.12
agitated,0.1
agitating,0.23
agitation,0.42
agitator,0.34
agitators,0.75
agleam,0.67
aglow,-0.04
Agnes,0.13
agnostic,0.11
agnostics,0.4
ago,-0.34
agonies,-0.04
agonize,-0.19
agonized,0.05
agonizes,0.3
agonizing,-0.1
agony,-0.41
agoraphobia,0.99
agrarian,0.77
agree,-0.71
agreeable,-0.2
agreeableness,0.77
agreeably,0
agreed,-0.58
agreeing,-0.43
agreement,-0.43
agreements,-0.03
agrees,-0.41
agricultural,0.52
agriculturalist,0.87
agriculturally,1.05
agriculture,0.04
agriculture's,0.49
agriculturist,0.71
Agrippa,0.12
agronomy,0.96
aground,0.83
ah,0.07
ahead,-0.44
ahem,0.21
ahoy,0.35
aid,-0.72
aide,-0.19
aided,-0.39
aides,-0.13
aiding,-0.03
aids,-0.67
ail,-0.23
ailerons,NULL
ailing,-0.14
ailment,0.07
ailments,-0.07
aim,-0.56
aimed,-0.44
aiming,-0.38
aimless,-0.56
aimlessly,0.06
aims,-0.54
ain't,-0.31
air,-0.71
airbase,-0.25
airbed,-0.21
airbladder,0.58
airborne,-0.23
airbrake,0.12
airbus,0.03
aircraft,-0.41
aircraft's,-0.04
aircrew,0.18
aircushion,0.79
airdrop,0.1
airdrops,0.14
aired,-0.15
airfield,0.08
airfields,-0.1
airflow,-0.02
airforce,-0.32
airframe,0.17
airily,0.3
airless,-0.31
airlift,-0.19
airline,-0.34
airliner,-0.25
airlines,-0.53
airlock,-0.24
airmail,-0.18
airman's,0.29
airmen,-0.21
airpark,0.44
airplane,-0.39
airplanes,-0.48
airport,-0.59
airports,-0.38
airs,-0.19
airshaft,0.08
airship,-0.21
airsick,-0.09
airspace,-0.32
airspeed,0.12
airstrip,0.43
airstrips,0.45
airtight,0.07
airway,-0.48
airways,-0.25
airy,-0.19
aisle,-0.23
ajar,-0.19
akin,0.34
Akron,-0.06
Al,-0.49
Alabama,-0.4
Alabamans,0.52
alabaster,0.34
Alamo,-0.2
Alamogordo,0.14
Alan,-0.34
alarm,-0.55
alarmed,-0.72
alarming,-0.36
alarmingly,0.31
alarmist,-0.06
alarms,-0.65
alas,-0.08
Alaska,-0.79
albacore,0.53
Albania,0.01
Albanian,-0.02
Albanians,0.41
Albany,-0.25
albatross,0.29
albeit,0.11
Albert,-0.51
albino,0.2
album,-0.67
albumin,-0.36
albums,-0.37
alchemist,0.44
alchemy,0.36
alcohol,-0.47
alcoholic,-0.32
alcoholics,0.24
alcoholism,-0.08
alcohols,-0.08
alcove,0.12
alcoves,0.26
alderman,0.53
aldermen,0.61
ale,-0.34
alehouse,1
alert,-0.7
alerted,-0.3
alerting,-0.35
alertly,0.08
alertness,-0.22
alerts,-0.42
Alex,-0.69
Alexander,-0.3
Alexander's,0.04
Alexandria,-0.12
Alexei,0.59
Alexis,-0.26
Alex's,-0.53
alfalfa,0.64
Alfonso,0.15
Alfred,-0.18
alfredo,0
Alfred's,-0.25
alga,0.11
algae,-0.03
algaecide,1.89
algebra,-0.4
algebraic,0.06
algebraically,0.61
Algeria,-0.02
Algerian,0.05
Algerians,0.17
algorithm,0.67
alias,-0.14
alibi,-0.07
alibis,0.68
Alice,-0.46
Alicia,-0.07
alien,-0.72
alienable,0.16
alienate,-0.01
alienated,0
alienates,0.05
alienation,0.16
aliens,-0.36
alight,0.32
align,-0.36
aligned,-0.28
aligning,0.12
alignment,-0.24
alignments,-0.01
alike,-0.47
aliment,0.4
alimony,0.19
alive,-0.61
alkali,0.31
alkaline,0.07
alkalis,1.09
all,-0.55
Allah,0.09
Allan,0.06
allay,0.02
allegation,-0.15
allegations,0.12
allege,0.33
alleged,-0.2
allegedly,0.33
allegiance,0.06
allegiances,0.33
alleging,0.08
allegoric,0.52
allegorical,0.57
allegory,-0.03
allegretto,0.1
allegro,-0.01
Alleluia,1.33
Allen,-0.24
Allen's,-0.37
allergen,0.32
allergic,-0.42
allergies,-0.49
allergy,-0.21
alleviate,-0.06
alleviating,0.26
alleviation,0.33
alley,-0.52
alleys,-0.25
alleyway,0.07
alleyways,0.29
alliance,-0.37
alliances,-0.37
alliance's,-0.01
allied,-0.45
allies,-0.28
alligator,-0.51
alligatored,1
Allison,-0.11
Allison's,-0.29
alliterate,0.29
alliteration,0.42
alliterative,1.37
allocable,0.9
allocate,-0.26
allocated,-0.29
allocation,-0.04
allocations,-0.11
allopathic,0.63
allopathy,0.55
allot,0.19
alloted,-0.06
allotment,0.36
allotments,0.76
allotted,-0.12
allotting,0.02
allow,-0.59
allowable,-0.17
allowance,-0.44
allowances,-0.4
allowed,-0.49
allowing,-0.35
allows,-0.53
alloy,-0.3
alloys,-0.26
allspice,0.24
alluded,-0.11
alludes,-0.17
alluding,0.02
allure,-0.43
allurement,0.35
alluring,-0.37
allusion,-0.49
allusions,-0.12
allusive,-0.05
allusiveness,0.56
ally,-0.28
almanac,-0.14
Almighty,-0.09
almond,-0.22
almonds,-0.44
almost,-0.7
alms,-0.18
aloe,-0.38
aloes,0.43
aloft,-0.19
alone,-0.73
aloneness,0.01
along,-0.65
alongside,-0.2
aloof,-0.3
aloofness,0.27
aloud,-0.41
Alp,0.05
alpha,-0.42
alphabet,-0.42
alphabetic,0.2
alphabetical,0.14
alphabetized,-0.07
Alpine,-0.11
Alps,-0.27
already,-0.78
alright,-0.53
Al's,-0.33
also,-0.69
altar,-0.62
altarpiece,0.8
alter,-0.61
alteration,-0.04
alterations,0.08
altercate,0.82
altercation,0.59
altered,-0.37
altering,-0.36
alterman,0.24
alternate,-0.19
alternated,0.29
alternately,-0.04
alternating,-0.15
alternation,0
alternative,-0.29
alternatively,0
alternatives,-0.13
alternator,0.21
alters,-0.24
although,-0.28
altitude,0.19
alto,-0.12
altogether,-0.17
altruism,0.2
altruist,0.19
altruistically,1.31
alum,0.1
aluminium,0.01
aluminum,-0.02
alumnae,0.51
alumni,-0.18
alveolar,1.85
alveoli,0.41
alveolus,0.69
always,-0.69
am,-0.17
amalgamate,0.89
amalgamated,0.51
amalgamation,1.05
amass,0.41
amassing,0.62
amateur,-0.45
amateurish,0.96
amateurishness,1.42
amateurs,-0.22
amatory,0.88
amaze,-0.7
amazed,-0.52
amazement,-0.48
amazing,-0.5
amazingly,-0.31
Amazon,-0.57
Amazonian,0.34
Amazons,-0.45
ambassador,-0.15
ambassadors,-0.05
ambassador's,0.12
amber,-0.63
ambiance,0.34
ambidextrous,0.85
ambience,0.08
ambient,0.07
ambiguities,0.6
ambiguity,0.08
ambiguous,0.04
ambition,-0.35
ambitions,-0.14
ambitious,-0.21
ambitiously,0.34
ambivalence,0.25
ambivalent,0.24
amble,-0.44
ambled,0.11
ambling,-0.18
Ambrose,0.4
ambrosia,-0.13
ambrosial,1
ambulance,0.01
ambulances,-0.01
ambulatory,0.36
ambuscade,0.54
ambush,-0.16
ambushed,0.11
ambushes,0.25
Amelia's,-0.06
ameliorate,0.45
Amen,-0.56
amenable,0.61
amend,0.01
amendable,0.34
amended,-0.13
amending,-0.12
amendment,0.02
amendments,0.04
amendment's,0.35
amenity,0.54
America,-0.47
American,-0.48
Americana,0.24
Americanize,0.93
Americans,-0.62
American's,-0.27
Americas,0
America's,-0.4
amethyst,0.16
amiable,-0.05
amicable,0.23
amicably,0.23
amid,0.05
amide,0.05
amidst,0.21
amigo,0.12
amino,0.41
amiss,-0.18
amity,0.12
ammo,-0.08
ammonia,-0.04
ammonium,0.64
ammunition,0.08
amnesia,-0.24
amnesty,-0.04
amoeba,0
amok,0.39
among,-0.35
amongst,-0.01
amoral,0.51
amorality,0.66
amorist,0.06
amorous,0.45
amorphous,0.3
amorphously,0.98
amortization,1.39
amortize,0.06
amory,0.1
amount,-0.59
amounted,0.2
amounting,0.27
amounts,-0.5
amour,0.13
amp,-0.18
ampere,0.59
ampersand,0.45
amphetamine,0.78
amphetamines,1.17
amphibian,0.36
amphibious,0.54
amphitheater,0.41
ample,-0.24
amplification,0.11
amplified,-0.26
amplifier,-0.15
amplifiers,-0.05
amplify,-0.59
amplifying,-0.1
amplitude,-0.17
amply,0.06
amputate,0.23
amputated,0.25
amputation,0.13
amputee,0.24
Amsterdam,0.17
amuck,0.31
amulet,0.22
amulets,0.25
amuse,-0.41
amused,-0.47
amusedly,0.76
amusement,-0.11
amusements,0.2
amusing,-0.38
amusingly,0.33
Amy,-0.56
an,-0.61
anachronism,0.55
anachronisms,1.16
anachronistically,0.96
anaconda,0.14
anacondas,0.67
anaconda's,0.66
anaerobic,0.9
anaesthetic,0.82
anaesthetize,1.1
anagram,0.23
anal,-0.39
analeptic,1.05
analogies,-0.19
analogous,0.04
analogy,-0.29
analysed,-0.05
analyses,0.02
analysis,-0.39
analyst,-0.27
analysts,-0.01
analyst's,-0.1
analytic,0
analytical,0.02
analytically,0.42
analyzable,0.89
analyze,-0.65
analyzed,-0.41
analyzer,0
analyzes,-0.21
analyzing,-0.45
anarchic,0.63
anarchical,1.05
anarchism,0.37
anarchist,0.01
anarchy,-0.26
anatomic,0.36
anatomical,0.27
anatomically,0.98
anatomy,-0.33
ancestor,-0.43
ancestors,-0.26
ancestral,0.17
ancestry,-0.21
anchor,-0.67
Anchorage,0.13
anchored,-0.47
anchoring,-0.1
anchorman,0.48
anchors,-0.41
anchovy,0.61
ancient,-0.58
anciently,0.28
ancients,-0.02
ancillary,0.35
and,-0.6
andante,0.51
Andean,0.56
Andersen,0.31
Andover,0.49
Andre,-0.17
Andrea,-0.4
Andrew,-0.58
androgynous,0.09
Andy,-0.34
Andy's,-0.47
anecdotal,0.21
anecdote,0.03
anecdotes,0.33
anemia,0.03
anemic,0.31
anemone,0.35
anesthetic,0.56
anesthetically,1.3
anesthetics,0.56
anesthetized,0.86
anew,-0.1
angel,-0.61
angelic,-0.07
Angelica,-0.05
Angelina,0.35
Angelo,-0.08
Angelo's,0.1
angels,-0.65
angel's,-0.44
anger,-0.59
angered,-0.32
Angie,-0.29
angle,-0.61
angler,-0.17
angles,-0.44
Anglican,0.2
Anglicanism,0.97
Anglicans,0.21
Anglicism,0.96
Anglicize,0.66
angling,0.47
Anglophile,1.1
Anglophilia,1.92
Anglophobe,0.49
Anglophobia,0.91
Angola,0.25
Angora,0.45
angriest,0.6
angrily,-0.21
angry,-0.81
angst,-0.04
anguish,-0.19
anguished,0.05
angular,0.16
anhydrous,1.2
anhydrously,1.62
animal,-0.54
animalism,0.33
animals,-0.59
animal's,-0.35
animate,-0.32
animated,-0.29
animation,-0.09
animism,0.66
animosity,0.35
anion,0
anionic,1.51
aniseed,0.66
Anita,-0.22
ankle,-0.59
ankles,-0.54
anklet,-0.35
Ann,-0.7
Anna,-0.46
annals,0.16
Annapolis,0.12
Anne,-0.58
Anne's,-0.37
annex,-0.31
annexation,0.5
Annie,-0.3
annihilate,0.77
annihilation,0.26
anniversaries,0.52
anniversary,0.05
annotate,0.19
annotation,0.45
announce,-0.37
announced,-0.32
announcement,-0.09
announcements,0.24
announcer,-0.26
announcers,-0.11
announcer's,0.09
announces,-0.08
announcing,-0.01
annoy,-0.48
annoyance,-0.11
annoyances,0.26
annoyed,-0.14
annoying,-0.44
annoys,-0.07
Ann's,-0.45
annual,-0.23
annually,-0.23
annuity,0.26
annul,0.81
annulment,0.8
annum,1.53
annunciated,0.56
annunciation,0.69
anode,0.28
anodes,0.3
anoint,0.27
anointment,1.2
anomalies,0.73
anomalous,0.61
anomaly,0.55
anomic,0.41
anomie,0.31
anon,0.21
anonymity,0.71
anonymous,-0.13
anorexia,0.24
another,-0.69
another's,-0.34
answer,-0.73
answerable,-0.09
answered,-0.39
answering,-0.26
answers,-0.53
ant,-0.61
antacid,0.08
antagonism,0.28
antagonisms,0.35
antagonist,-0.1
antagonistic,0.36
antagonists,0.01
antagonize,0.11
Antarctic,0.3
Antarctica,0.23
ante,0.3
anteater,0.97
antecede,0.52
antecedent,0.38
antecedents,0.48
antechamber,0.96
antedate,0.78
antelope,-0.22
antenna,-0.17
antennae,0.31
antennas,0.08
anterior,-0.01
anteriors,0.38
anteroom,0.42
anthem,-0.2
anthems,-0.04
anthill,0.15
anthologize,1.2
anthology,-0.1
Anthony,-0.3
Anthony's,-0.23
anthrax,-0.17
anthropocentric,1.06
anthropoid,0.46
anthropological,0.48
anthropologist,0.24
anthropologists,0.27
anthropology,0.17
anthropomorphic,1.36
anthropomorphism,1.33
antiaircraft,1.7
antibiotic,0.08
antibiotics,0.01
antibodies,-0.29
antibody,-0.22
antic,-0.19
anticipate,-0.12
anticipated,-0.33
anticipates,-0.1
anticipating,-0.12
anticipation,-0.01
anticipations,0.13
anticipatory,0.57
anticlerical,1.54
anticlimax,0.86
anticoagulation,1.47
antics,0.05
antidote,-0.03
Antietam,0.62
antifreeze,0
antifundamentalist,1.63
Antigua,1.01
antihero,0.95
antihistamine,0.75
antimatter,0.74
antipathy,0.34
antipersonnel,1.04
antiquary,0.59
antiquate,0.54
antiquated,0.52
antique,-0.33
antiques,-0.3
antiquities,0.36
antiquity,0.22
antiseptic,0.22
antiserum,1.76
antislavery,0.48
antisocial,0.33
antisubmarine,1.64
antitank,1.27
antithesis,0.52
antithyroid,1.54
antitoxin,1.28
antitrust,0.23
antler,-0.1
Antoine,0.39
Antoine's,0.24
Antoinette,0.73
Antonio,-0.28
antonym,0.17
ants,-0.77
anus,-0.03
anvil,-0.09
anxieties,0.26
anxiety,-0.59
anxious,-0.68
anxiously,-0.08
any,-0.56
anybody,-0.39
anybody's,-0.43
anyhow,0.23
anymore,-0.37
anyone,-0.36
anyone's,-0.17
anyplace,0.03
anything,-0.43
anyway,-0.58
anyways,-0.48
anywhere,-0.41
aorta,0.25
Apache,0.02
Apaches,0.29
apart,-0.62
apartheid,0.31
apartment,-0.52
apartments,-0.34
apathetic,0.11
apathy,-0.38
ape,-0.6
aperitif,0.9
aperture,0.06
apex,-0.27
aphasia,0.4
aphid,0.32
aphorism,0.09
aphrodisiac,0.13
Aphrodite,0.5
apiary,1.17
apiculture,0.48
apiece,0.21
apocalypse,0.62
apocalyptic,0.61
apogee,0.66
Apollo,-0.56
Apollonian,0.51
Apollo's,-0.47
apologetic,0.18
apologetically,1.09
apologies,-0.2
apologist,0.02
apologize,-0.41
apologized,-0.36
apology,-0.45
apoplexy,0.3
apostle,-0.31
apostles,-0.08
Apostolic,0.4
apostrophe,0.36
apothecary,0.4
appal,0.8
Appalachian,0.14
Appalachians,0.28
appalled,-0.03
appalling,-0.14
appallingly,0.51
apparatus,0.01
apparel,-0.37
appareled,0.86
apparency,0.04
apparent,-0.49
apparently,-0.35
apparition,0.38
appeal,-0.74
appealed,-0.29
appealing,-0.56
appeals,-0.32
appear,-0.67
appearance,-0.46
appearances,-0.17
